ID Item;REF;DESCRPCION;Unidad
8846;601400 CRAMARO                                    ;"CADENA NP#50 22""+UNION  601400 CRAMARO";UND 
664;9410                                              ;"CADENA SENCILLA PASO-3/4"" RS60-1.";m   
13823;CB23100                                           ;CAJA CONTROL CB23100;UND 
6175;CBID1 120PSI PRESSURE GUARD                       ;CAJA CONTROL CBID1 120PSI PRESSURE GUARD;UND 
14493;No 10000900 PREMIER                               ;CAJA DEL EXTREMO 956BK PREMIER;UND 
7437;07437                                             ;CAJA METALICA 15x15x10cm.TAPA+BISAGRA;UND 
668;9065                                              ;"CAJA METALICA 8""x8""x4"" PARA EMPALME.";UND 
9361;PR995/67 BLANCA                                   ;CAJA PLAST.DE PASO 170x100 PR995/67 BLAN;UND 
4687;EH-1407500                                        ;CALC.ADVERT.FUSIBLE FRANGIBLE EH-1407500;UND 
75;EH-0600100                                        ;CALC.EQUIPOS CON DISCO TEFLON EH-0600100;UND 
7401;"FE8000-075""-085"" KINEDYNE                         ";"VIGA LOGISTICA S/HD FE8000-075""-085"" KIN";UND 
2218;EH-0600400                                        ;CALC.EQUIPOS SIN DISCO TEFLON EH0600400;UND 
2219;EH-0700000.                                       ;CALCOM PRECAUCIONES SUSP.NEUM.EH0700000.;UND 
4466;26500 - PLUG                                      ;ACOPLE MACHO P/LUCES 2-POLOS PHILLIPS;UND 
5150;AN-3001800                                        ;CALCOM. 2300 GAL (90x430mm) AN-3001800;UND 
14488;EH-14015000                                       ;CALCOM. CAPACIDAD 11,1 m3  EH-14015000;UND 
14481;EH-14015200                                       ;CALCOM. CAPACIDAD 2,2 m3  EH-14015200;UND 
14487;EH-14014900                                       ;CALCOM. CAPACIDAD 3,9 m3  EH-14014900;UND 
520;5591                                              ;BOLSA AIRE AS-0112 / S-1345 (BR.ELEV).;UND 
14483;CALCOM. CAPACIDAD 4,0 m3  EH-14015400             ;CALCOM. CAPACIDAD 4,0 m3  EH-14015400;UND 
14482;EH-14015300                                       ;CALCOM. CAPACIDAD 6,2 m3  EH-14015300;UND 
14489;EH-14015100                                       ;CALCOM. CAPACIDAD 7,2 m3  EH-14015100;UND 
8811;EH-1409700                                        ;CALCOM. DE SOLDADURA VIGAS EH-1409700;UND 
8812;EH-1409800                                        ;CALCOM. MANEJO DE CARGA EH-1409800;UND 
7651;EH-1409100                                        ;CALCOM. PRESION D/PRUEBA EH-1409100;UND 
3632;19717                                             ;"VISOR 4"" JDG-105 ETANOL-BIODIESEL JIKOH.";UND 
7649;EH-1409200                                        ;CALCOM. PRESION TRABAJO EH-1409200;UND 
14577;EH-14015500                                       ;CALCOM. TORQUE SUSP.NEUM.ROM EH-14015500;UND 
677;20576-010                                         ;CALCOM.2000 GAL.AN-1903000.;UND 
10434;0010434                                           ;CALCOM.3000 GAL. AN-2003000.;UND 
693;20576-012                                         ;CALCOM.3834 GAL.AB-1682900.;UND 
706;20576-027                                         ;CALCOM.4600 GAL.AN-2204201.;UND 
689;AB-22204600                                       ;CALCOM.5300 GAL.AB-22204600;UND 
711;20576-018                                         ;CALCOM.5900 GAL.AB-1731100.;UND 
676;AB-22204400                                       ;CALCOM.6500 GAL.AB-22204400.;UND 
12458;CERRAR - ABRIR                                    ;CALCOM.ACCI0.CIERRE TOLVA XP EH-14013000;UND 
12459;ABRIR - CERRAR                                    ;CALCOM.ACCI0.CIERRE TOLVA XP EH-14013100;UND 
408;860                                               ;"BARRA DE TRANSMISION 7/8""x3/4""x1200mm.";UND 
12870;EH-14013400                                       ;CALCOM.ACCIONA.CUCHILLA ELECT EH14013400;UND 
719;25628                                             ;CALCOM.ACCMTO EH-1100600.;UND 
723;22238-009                                         ;CALCOM.ACOPLE MOTOR CARPA AI-2210900;UND 
13300;AH-1002505 -45x63mm-                              ;CALCOM.ACOPLE P/ LUCES DOLLY AH-1002505;UND 
6696;EH-1408000                                        ;CALCOM.ADV. MANDOS CONTROL EH-1408000;UND 
725;20779-017                                         ;CALCOM.ADV.AC-4406600.;UND 
728;19074                                             ;CALCOM.ADV.CARGAR CON BOMBA EH-14016;UND 
7281;EH-1408300                                        ;CALCOM.ADV.CICLISTA  EH-1408300;UND 
730;EH-1406900.                                       ;CALCOM.ADV.DAÑO SELLO EH-1406900.;UND 
7280;EH-1408200                                        ;CALCOM.ADV.DE ALEJAMIENTO EH-1408200;UND 
7283;EH-1408400                                        ;CALCOM.ADV.DE ALEJAMIENTO EH-1408400;UND 
7285;EH-1408600                                        ;CALCOM.ADV.DE APLASTAMIENTO EH-1408600;UND 
7290;EH-1408700                                        ;CALCOM.ADV.DE SERVICIO  EH-1408700;UND 
731;16643                                             ;CALCOM.ADV.EG-8204700.;UND 
2672;2863                                              ;"SEGURO BISAGRA MANHOLE 20"" 3550 SOLIMAR.";UND 
8829;EH-1409900                                        ;CALCOM.ADV.ENGANCHE-2880A EH-1409900;UND 
733;25718-EH-0201200.                                 ;CALCOM.ADV.FABR.ALUM.EH-0201200.;UND 
2217;EH-0600300                                        ;CALCOM.ADV.KINGPIN LAM.DESGAST EH0600300;UND 
10056;EH-14011300                                       ;CALCOM.ADV.MANDOS ELEV.TECHO EH-14011300;UND 
14485;EH-14014800                                       ;CALCOM.ADV.OPER.SIST.HID.EH-14014800;UND 
12394;EH-14012900                                       ;CALCOM.ADV.OPERAC.PARAL MOVIL EH14012900;UND 
5546;AF-6703900                                        ;CALCOM.ADV.PASADOR DE SEGURIDAD AF-67039;UND 
5542;AF-6704400                                        ;CALCOM.ADV.PASADOR DE SEGURIDAD(A) AF-67;UND 
737;17597-004                                         ;CALCOM.ADV.PRESION EH-1400400;UND 
738;EH-1401100                                        ;CALCOM.ADV.SIST.FRENOS EH-1401100;UND 
739;16799                                             ;CALCOM.ADV.TECHO AM-4308001.;UND 
13553;0013553                                           ;CALCOM.ALTURA COLUMNAS ESTIB.AM-71009101;UND 
10048;AM-59009800                                       ;CALCOM.ALTURA MAX.ESTIBAS AM-59009800;UND 
10308;AM-56011001                                       ;CALCOM.ALTURAS DE COLUMNA AM-56011001;UND 
10265;AM-60008100                                       ;CALCOM.ALTURAS DE COLUMNA AM-60008100;UND 
750;EH1402600                                         ;CALCOM.AUTOINFLADO LLANTAS EH1402600;UND 
4352;EH-1406500 -29PSI (2.0BAR)                        ;CALCOM.AVISO PRESION MAX.2BAR EH-1406500;UND 
751;17597-003                                         ;CALCOM.AVISO PRESION MAX.EH-1400300;UND 
3718;20621/20622                                       ;"LAMPARA LED 4""x3/4"" 35375 R/Y TRUCK LITE";UND 
752;EH-1400500                                        ;CALCOM.AVISO PRESION NEUM. EH-1400500;UND 
754;17597-001                                         ;CALCOM.AVISO VALV.DRENAJE EH-1400;UND 
755;EH-1400200 70x140mm                               ;CALCOM.AVISO VALV.RETENC. EH-1400200;UND 
12871;EH-14013200                                       ;CALCOM.CAJA MANDO MANH.AUTOM.EH-14013200;UND 
6007;AB-20904300                                       ;CALCOM.CAP.11800 GAL.AB-20904300 85x650;UND 
10436;0010436                                           ;CALCOM.CAP.4300 GAL AN-4103100;UND 
7114;AN-3403900                                        ;CALCOM.CAP.6000 GAL AN-3403900;UND 
12665;AI-38016200                                       ;CALCOM.CAP.MAX PLATAFOR.8TON AI-38016200;UND 
8588;EH-1409600 (90x880mm)                             ;CALCOM.CAP.MAX. 32 TON. EH-1409600;UND 
1061;4066                                              ;"CODO 90° SOLD.AC.SCH40 1_1/2""Ø.";UND 
13412;0013412                                           ;CALCOM.CAP.MAX.20TON. AO-10003800;UND 
757;AF-6406200.                                       ;CALCOM.CAP.MAX.25TON.AF-6406200.;UND 
756;AC-4503101                                        ;CALCOM.CAP.MAX.26TON. AC-4503101;UND 
12666;AI-38016300                                       ;CALCOM.CAP.MAX.EQUIPO 15TON AI-38016300;UND 
9105;AC-4706900                                        ;CALCOM.CAP.MAX10TON AC-4706900;UND 
11169;AC-5103500                                        ;CALCOM.CAP.MAX11TON AC-51;UND 
7666;07666                                             ;"ARGOLLA LLAVERO 1""";UND 
14486;EH-14014700                                       ;CALCOM.CAP.VOL.TANQ. 29GAL EH-14014700;UND 
1366;23365                                             ;"FLANCHE NEGRO 9132 LAMPARA 4""VSM.";UND 
4366;EH-1002500                                        ;CALCOM.CARACT VALVULA MAESTRA EH-1002500;UND 
6697;AM-53011401                                       ;CALCOM.CARGA MAXIMA Y ALTURA AM-53011401;UND 
12867;EH-14013500                                       ;CALCOM.CIERRE PUERTA EH-14013500;UND 
12868;EH-14013600                                       ;CALCOM.CIERRE PUERTA EH-14013600;UND 
765;21403                                             ;CALCOM.COLOMBIA+BANDERA 70x700mm.;UND 
767;14369                                             ;CALCOM.COMBUSTIBLE AB-1089200.;UND 
14392;0014392                                           ;CALCOM.COMO CONDUZCO #767 35x35 cm   ;UND 
768;18288                                             ;CALCOM.COMO CONDUZCO #767 INVIAS.;UND 
13301;AH-1002506 -69x103mm-                             ;CALCOM.CONEXIÓN ACOPLE LUCES AH-1002506;UND 
771;EH-1402900 - SERVICE(BLUE)                        ;CALCOM.CONTROL EH-1402900 -AZUL-.;UND 
10846;EH-14011800                                       ;CALCOM.CONVERTIDOR 12-24V ABS EH14011800;UND 
10047;EH-14011200 - XVA AI-35                           ;CALCOM.CORRIENTE CARPADO-T.A. EH14011200;UND 
5550;EH-1002900                                        ;CALCOM.CORRIENTE LUZ VISORES EH-1002900;UND 
772;22815                                             ;CALCOM.CORRIENTE MONITOR EH-1002000.;UND 
7279;EH-1408100                                        ;CALCOM.CUIDADO GIRO AMPLIO EH-1408100;UND 
773;EH-1406300                                        ;CALCOM.DESCONEXION ABS EH-1406300.;UND 
774;EH-1402100                                        ;CALCOM.DESINFLAR BOLSAS EH-1402100.;UND 
778;EH-1403900                                        ;CALCOM.DRENAJE LIQUIDOS EH-1403900.;UND 
780;EH-1002700-21688                                  ;CALCOM.ELEVACION EJE EH-1002700(33x38mm);UND 
779;22841                                             ;CALCOM.ELEVACION EJE EH-1002800.;UND 
10848;EH-14012000                                       ;CALCOM.ENTR-FALLA CONVERT ABS EH14012000;UND 
10847;EH-14011900                                       ;CALCOM.ENTR-SALID CONVERT ABS EH14011900;UND 
10849;EH-14012100                                       ;CALCOM.FRENO-TIERRA-CORRIENT EH14012100;UND 
785;17827                                             ;CALCOM.FUNCIONAM.TOLVA EH-1401000;UND 
14390;0014390                                           ;CALCOM.GIRAR DERECHA 40x25 cm;UND 
687;687                                               ;CALCOM.GIRAR DERECHA 40x40 cm;UND 
14391;0014391                                           ;CALCOM.GIRAR IZQUIERDA 40x25 cm;UND 
679;679                                               ;CALCOM.GIRAR IZQUIERDA 40x40 cm;UND 
7650;EH-1408900                                        ;CALCOM.HALAR P/ABRIR EH-1408900;UND 
787;EH-1406600                                        ;CALCOM.HALE EL BOTON EH-1406600..;UND 
789;EH-0201000                                        ;CALCOM.INSPECCION AUTOINFLADO EH-020;UND 
7576;EH-1405800                                        ;CALCOM.INST.D/OPERACI.MANHOLE EH-1405800;UND 
8830;EH-14010000                                       ;CALCOM.INST.ENGANCHE-2880A EH-14010000;UND 
12769;EH-1401001                                        ;CALCOM.INST.FUNCI. EH-1401001;UND 
5533;AF-6703800                                        ;CALCOM.INST.OPER.AF-6703800;UND 
802;22875 - EH-1404900                                ;CALCOM.INST.OPER.DESC.LATERAL EH-1404900;UND 
805;EH-1405300-24298                                  ;CALCOM.INST.OPER.SUSP MIXTA EH-1405300;UND 
12668;AI-38016500                                       ;CALCOM.INSTR.OPER.PLAT.MOVIL AI-38016500;UND 
11659;EH-14012700                                       ;CALCOM.INSTR.OPERAC.DESC.LAT.EH-14012700;UND 
11307;EH-14012402                                       ;CALCOM.INSTRUC.ACCION.TA.NEUM EH14012402;UND 
9016;AW-0304502                                        ;CALCOM.INSTRUC.LIBERAR+TENSION CORT.AW03;UND 
812;AE-3809300                                        ;CALCOM.INSTRUC.OPERA.SIST.HID.AE-3809300;UND 
2237;19609                                             ;"PLATINA AC.SAE1016 LC.1_1/4""x1/8"".";Kg  
9839;AF-7102400                                        ;CALCOM.INSTRUC.OPERAC.CUELLO AF-7102400;UND 
11306;0011306                                           ;CALCOM.INSTRUC.OPERAC.TA.NEUM EH14012401;UND 
5543;AF-6704300                                        ;CALCOM.INTERRUPTOR ALIMENTACION AF-67043;UND 
13297;AH-1002502 -45x63mm-                              ;CALCOM.LINEA EMERGENC.SEMI-1 AH-1002502;UND 
13296;AH-1002501 -45x63mm-                              ;CALCOM.LINEA EMERGENC.SEMI-2 AH-1002501;UND 
1871;20946                                             ;MANIJA CABINA JEEP PLANA REF-3041.GALES.;UND 
817;AB-1089100                                        ;CALCOM.LIQUIDO INFLAMABLE.AB-1089100;UND 
2092;16034                                             ;PERFIL ALUM.PISO CE.CAB.ROM041/AR:ROM028;m   
823;AF-601400                                         ;CALCOM.LUBRIC.SUSP.L-IZQ.AF-6014000.;UND 
12919;0012919                                           ;CALCOM.MANDO BLOQUEO EJE DIR.EH-14013700;UND 
826;21418                                             ;CALCOM.No-1 EH-1001600.108mm.Ø.;UND 
827;21419                                             ;CALCOM.No-2 EH-1001700.108mm.Ø.;UND 
828;21420                                             ;CALCOM.No-3 EH-1001800.108mm.Ø.;UND 
833;EH-1403300                                        ;CALCOM.NOTAS SEGURIDAD EH-1403300;UND 
8790;EH-1403500                                        ;CALCOM.NOTAS SEGURIDAD EH-1403500;UND 
14465;EH-14014200                                       ;CALCOM.OPER. VOLCO+PUERTA H. EH-14014200;UND 
7284;EH-1408500                                        ;CALCOM.PARADAS FRECUENTE  EH-1408500;UND 
837;AE-3704001                                        ;CALCOM.PELIGRO AE-3704001.;UND 
12667;AI-38016400                                       ;CALCOM.PILOTOS ENCENDIDOS AI-38016400;UND 
2231;13220                                             ;CALCOM.PLACA TORQUES ZTR-40-3 EK-1106400;UND 
841;23301                                             ;CALCOM.POST.CBCLA-10 EG-1100400;UND 
845;20785                                             ;CALCOM.POSTERIOR XBoMTE AM-44.;UND 
12869;EH-14013300                                       ;CALCOM.PREC.RIESGO ELECTRICO EH-14013300;UND 
9613;0009613                                           ;CALCOM.PRECAUC.ALTA PRESION AF-6012600;UND 
9840;AF-7102500                                        ;CALCOM.PRECAUC.CUELLO DESENG.AF-7102500;UND 
847;EH-1401200                                        ;CALCOM.PRECAUCION ABS EH-1401200.;UND 
849;AF-6012600                                        ;CALCOM.PRECAUCION ALTA PRESION AF6012600;UND 
9592;EH-14010600                                       ;CALCOM.PRECAUCION APLASTAMIE.EH-14010600;UND 
14494;AE-46009400                                       ;CALCOM.PRECAUCION CONTRAPESO AE-46009400;UND 
853;EH-1406800                                        ;CALCOM.PRECAUCION MANT.MANHOLE EH-1;UND 
854;21817-004                                         ;CALCOM.PRECAUCION MANUAL AF-6011900.;UND 
9612;AF-6011900.                                       ;CALCOM.PRECAUCIÓN MANUAL AF-6011900.;UND 
14495;AE-46009500                                       ;CALCOM.PRECAUCION ORD.DESCAR AE-46009500;UND 
858;22238-002                                         ;CALCOM.PRECAUCION REVERSA AI-2207600;UND 
859;17597-006                                         ;CALCOM.PRECAUCION TEMPER.EH-1400600;UND 
860;AE-3807700.                                       ;CALCOM.PRECAUCIONES AE-3807700.;UND 
868;EH-1402500                                        ;CALCOM.PRES.P/LEVANT.EJE 2MIN EH1402500;UND 
861;21817-002                                         ;CALCOM.PRESION AF-6011700 -45x100mm-;UND 
862;EH-1402200                                        ;CALCOM.PRESION BOLSAS AIRE EH-1402200;UND 
863;EH-1002400.                                       ;CALCOM.PRESION DESCARGUE EH-1002400.;UND 
11308;EH-14012403                                       ;CALCOM.PRESION MAX 100PSI EH14012403;UND 
864;EH-1402300.                                       ;CALCOM.PRESION SUSPENSION EH-1402300.;UND 
865;17597-008                                         ;CALCOM.PRESION TANQUE EH-1400900.;UND 
8589;EH-1409500                                        ;CALCOM.PRESION TRABAJO 2000PSI EH1409500;UND 
866;AE-3807600.                                       ;CALCOM.PRESION TRABAJO AE-3807600.;UND 
867;17597-007                                         ;CALCOM.PRESION TUBERIA EH-1400800.;UND 
871;EH-1403400                                        ;CALCOM.PUNTO LUBRICACION EH-1403400.;UND 
8590;0008590                                           ;CALCOM.PURGA-AIRE CIL.HID.AI-2208703;UND 
875;EH-0300800 -A.                                    ;CALCOM.ROMARCO ®-70x935mm. -SIN TEL-.;UND 
873;EH-0300500-1                                      ;CALCOM.ROMARCO 60x710mm EH-0300500-1;UND 
13298;AH-1002503 -45x63mm-                              ;CALCOM.SERVICIO CONTIN.SEMI-1 AH-1002503;UND 
13299;AH-1002504 -45x63mm-                              ;CALCOM.SERVICIO CONTIN.SEMI-2 AH-1002504;UND 
879;EH-1401300.                                       ;CALCOM.SIMBOLO DE TIERRA EH-1401300.;UND 
880;EH-1404300                                        ;CALCOM.SIST.INFL. LLANTAS EH-1404300;UND 
881;EH-1402800 - EMERGENCY(RED)                       ;CALCOM.SUMINISTRO EH-1402800 -ROJA-.;UND 
883;EH-0300800 B.                                     ;CALCOM.TEL.+WWW.ROMARCO.CO 33x715mm.;UND 
884;AM-4308003                                        ;CALCOM.TENSOR CORTINA AM-4308003.;UND 
10971;EG-9901300                                        ;CALCOM.TORQUE GRAPA 3 EG-9901300.;UND 
887;21161-003                                         ;CALCOM.VALV.ACCIONAM.PUERTA AE-3807701;UND 
5545;AF-6704100                                        ;CALCOM.VALVULA (2B) CILINDRO AF-6704100;UND 
1114;13420                                             ;CONTROL AIRE EJE ELEVABLE AKAM0002.;UND 
13748;CALCOMANIA VERTICAL MANDO BLOQUEO EJE DIRECCIONAL ;CALCOM.VERT.MANDO BL.EJE DIR.EH-14014100;UND 
18;EH-1403000                                        ;CALCOMANIA 12 VOLTIOS EH-1403000.;UND 
678;20017                                             ;CALCOMANIA 24 VOL.EH-1403100.;UND 
11661;0011661                                           ;CALCOMANIA 3900 GAL 90x430mm AB-20307200;UND 
695;20576-013                                         ;CALCOMANIA 3900 GAL 90x432mm AB-1702500.;UND 
11457;0011457                                           ;CALCOMANIA 4300 GAL 90x432mm AB-21703500;UND 
11760;AM-65008501                                       ;CALCOMANIA ALTURA DE COLUMNA AM-65008501;UND 
19;EH-1200100 V-03 25-07-2017                        ;CALCOMANIA CONEX. ELECT.ABS+PG EH1200100;UND 
4351;EH-1407000                                        ;CALCOMANIA CUIDADO SE GOLPEA EH-1407000.;UND 
20;EH-0500200                                        ;CALCOMANIA DE APRIETE EH-0500200.;UND 
1882;23802                                             ;MANILA MIX No.-10.;m   
2050;18067                                             ;PERFIL ALUM.6061-T6 ROM-052 LEHNER.;m   
10441;EH-14011700                                       ;CALCOMANIA DOLLY EH-14011700;UND 
4356;EH-1407200                                        ;CALCOMANIA EVITAR APLASTAM EH-1407200;UND 
4415;EH-1404900                                        ;CALCOMANIA INSTR.OPERAC. DESC-LAT.EH-14.;UND 
10438;EH-14011400 YCA AC-48                             ;CALCOMANIA INSTR.OPERAC.ENGANCHE 335NTEL;UND 
2215;AM4308002                                         ;CALCOMANÍA INSTRUCCIONES TECHO AM4308002;UND 
6946;10001837 EN ESPAÑOL KINEDYNE                      ;CALCOMANIA K2KB699 -10001837 EN ESPAÑOL-;UND 
8302;EH-1409300                                        ;CALCOMANIA MANDOS ELEV.TECHO EH-1409300;UND 
9109;EH-14010100                                       ;CALCOMANIA NOTAS DE SEGURIDAD EH-14;UND 
13747;0013747                                           ;CALCOMANIA PERILLA FRENOS EH-14014000;UND 
11796;0011796                                           ;CALCOMANIA POSTERIOR CBSI-24 EG-157;UND 
10997;0010997                                           ;CALCOMANIA PRECAUC.PORTARREPU EH14012300;UND 
10996;EH-14012200                                       ;CALCOMANIA PRECAUCION PUERTAS EH14012200;UND 
22;11003                                             ;CALCOMANIA ROMARCO-90x1500mm+TEL-40x930m;UND 
10440;EH-14011600                                       ;CALCOMANIA SEMIRREMOLQUE EH-14011600;UND 
4688;EH-1407400                                        ;CALCOMANIA SIST.ELEVAC.EJES EH-1407400.;UND 
2751;22356-003                                         ;SOPORTE FIJO EZ-OFF RO120EB MOUNTAIN TAR;UND 
76;21780                                             ;CALCOMANÍA TORQUE SUSP.FUWA EK-6600001.;UND 
2230;EK5102000                                         ;CALCOMANÍA TORQUE SUSP.ROMARCO EK5102000;UND 
4353;EH-1407100                                        ;CALCOMANIA UTILIZAR CASCO EH-1407100.;UND 
13586;0013586                                           ;CALCOMANIA XBo AM-71 SP-LT 29cm;UND 
3989;25036-002                                         ;CALIPER PAN 22-1 WABCO IZQUIERDO(LEFT).;UND 
891;470                                               ;CALZO GRAPA CUADRADA EK-0501000;UND 
892;19808                                             ;CALZO GRAPA FUNDIDO SUSPENSION NEWAY TAN;UND 
893;20766-005 - SP-0193 W&CH.                         ;CALZOS SP-0193 SUSP.SINGLE POINT.;UND 
894;23683                                             ;CAMARA FRENO 2024TLD65H EJE FRENO DISCO.;UND 
895;871                                               ;"CAMARA FRENO AIRE T-30 3/8""NPT 1/2""PASAD";UND 
24;2144                                              ;CAMARA FRENO AIRE T-3030 3/8NPT 1/2PASA;UND 
11842;SN-706W-D                                         ;CÁMARA REVERSA+MONITOR INALAMBRI.SN706WD;KIT 
11190;SN718WA -XBo-                                     ;CAMARA REVERSA+MONITOR INALAMBRI.SN718WA;KIT 
11191;SN-718RV-B SHENZHEN SUNNUO -CBCLA-                ;CAMARA REVERSA+MONITOR SN-718RV-B SHENZH;KIT 
8187;0008187                                           ;CANAL AC.A-36 200x75x8.5x11.5mm.UPN200;kg  
897;6689                                              ;"CANAL AC.A36.4""x102x40x4.6x7.5x5.4Lb/p";kg  
11548;0011548                                           ;CANCAMO CERRADO 8x60mm+TUERCA -CHAZO EX-;UND 
899;5058                                              ;CANDADO MEDIANO 110-40YALE O F3-FLEXON.;UND 
900;4872                                              ;CANDADO PEQUEÑO 110-30YALE.;UND 
1017;13054                                             ;COCA EXTREMA RESORTE EK-6300200.;UND 
150;24623                                             ;"ABRAZADERA PARA EXHOSTO 2_1/2"".";UND 
155;11220                                             ;ABRAZADERA T/INDUSTRIAL T-509 57-62mm.;UND 
903;XPK8 ACERO -EG-15400002 - 21 ARCOS REDONDOS-      ;CARPA XP-12.60m-21V-AR EG154 PLASTIL.500;UND 
14417;AO-11001100                                       ;CARPA XV 2416X3630mm AO-11001100;UND 
14416;AO-12003900                                       ;CARPA XV 2855X3630mm AO-12003900;UND 
525;14460                                             ;"BOLSA AIRE S-24446 (NORM-ELEV-12"")HENDRI";UND 
914;14842                                             ;"CARRILERA PUERTA 2.5""x2.07x225"" 811088 H";UND 
5836;0005836                                           ;CARRO CORTINERO CORTO 4-RUEDAS XBoJS;UND 
3988;25036-001                                         ;CALIPER PAN 22-1 WABCO DERECHO(RIGHT).;UND 
917;15337- ADAICO                                     ;CARRO INF.DER.PUERTA 0802152;UND 
918;15336-ADAICO                                      ;CARRO INF.IZQ.PUERTA 0802142 ;UND 
920;15335                                             ;CARRO INF.LONA 0802132 ADAICO.;UND 
921;17312                                             ;CARRO INF.LONAS 0802132.ADAICO.;UND 
922;18414                                             ;CARRO INF.PUERTA DER.0802153 ADAICO;UND 
923;18413                                             ;CARRO INF.PUERTA IZQ.0802143 ADAICO;UND 
8799;0505036 ADAICO                                    ;CARRO PILAR 64.5 +ALARG.CTF10 0505036 AD;UND 
924;15333-ADAICO                                      ;CARRO SUPERIOR LONAS 0802112;UND 
925;15334-ADAICO                                      ;CARRO SUPERIOR PUERTA 0802122;UND 
931;471                                               ;CASQUETE DEL BALANCIN EK-0101500;UND 
5145;005145                                            ;CATALIZADOR 194S POLIURETANO ELITE DUPON;GAL 
934;24964                                             ;CATALIZADOR 196S POLIURETANO IMRON ELITE;GAL 
2495;4122                                              ;"REDUC.BUSHING AC.150PSI 2""x1_1/2""NPT.";UND 
935;24243                                             ;CATALIZADOR 30P121 CORSHIELD RA-26 DUPON;GAL 
2629;22973                                             ;RIEL 10'  1824 LAM.AC.CAL.10 KINEDYNE.;UND 
6571;06571                                             ;CATALIZADOR ENDURECEDOR X-20 PPG;GAL 
6435;06435                                             ;CATALIZADOR EPOXICO 2K PPG;GAL 
938;2216                                              ;CATALIZADOR EPOXICO BLANCO 43-80-01 -B-.;GAL 
2171;9290                                              ;"PIVOT BLOCK 3510 MANHOLE 20"" SOLIMAR.";UND 
9903;0009903                                           ;CATALIZADOR POLIURETANO 275001 LEMBER;GAL 
8089;08089                                             ;CATALIZADOR POLIURETANO 6201-Q PINTUNAL;GAL 
2307;2110                                              ;"RACOR 500 1/4""Ø ANILLO";UND 
943;18159                                             ;CATALIZADOR POLIURETANOS IW205 AXALTA;GAL 
5637;VG16260 DUPONT.                                   ;CATALIZADOR PRIME'N SEAL VG16260 DUPONT;Lt  
2775;16404                                             ;SUSP.INTRAAX AAEDL30K 12RH ELEV.HENDRICK;UND 
945;20155                                             ;"CAUCHO ALIMENTICIO 1/8""x1.2m.ANCH";m   
5055;A204 BTI                                          ;CAUCHO FLUIDIZADOR A-204 BTI;UND 
25;02245                                             ;CAUCHO GUARDAPOLVO-610x800mm-.;UND 
26;6135                                              ;CAUCHO PARACHOQUE CONICO EH-0100100;UND 
948;123                                               ;CAUCHO PARACHOQUE RECTANGULAR.;UND 
7302;EG-13200601                                       ;CAUCHO SUJECION TABLILLA PELDAÑO EG-132;UND 
951;127                                               ;CAUCHO SUPERIOR EJE REDONDO EK-1102400.;UND 
14471;0014471                                           ;CAUCHO TENSIONADOR CARPA 1 m  -PULPO;UND 
952;18304                                             ;"CAUCHO TENSIONADOR CARPA 10"" 2210 KINEDY";UND 
954;14346-EMC9-8004ZN545 -MAINEX-.                    ;CHAPA AC.INOX. GL-12114 JIAXING GANLAND;UND 
8238;CHAPACM-1D                                        ;CHAPA CIERRE MULTIPLE DER AIRIBUZ -GAMI-;UND 
8239;CHAPACM-1I                                        ;CHAPA CIERRE MULTIPLE IZQ AIRIBUZ -GAMI-;UND 
955;473                                               ;CHAPETA RIN ARTILLERO 1927774.;UND 
4422;11388                                             ;"CHUMACERA SY 1"" P-205 UCP205-100D1 NTN.";UND 
959;14458 - 9295LH02-MAINEX-                          ;CIERRE PASADOR +SOPORTE GL-14125 PIN-12;UND 
13380;"PARA TUBO DE 1/2""(21mmØEXT)                       ";CIERRE PUERTA 21mmØ GL11118 STEEL ZP-KIT;UND 
10952;"PARA TUBO DE 3/4""(27mmØEXT)                       ";CIERRE PUERTA 27mmØ GL11130 STEEL ZP-KIT;UND 
960;1201378-ESPECIAL-ADAICO                           ;CIERRE PUERTA+LLAVES 1201375-ESPECIAL;UND 
961;17275                                             ;CIERRE PUERTA+LLAVES-1201375-ADAICO-;UND 
10342;C305-1100 AMPARTS                                 ;CILINDRO DE CIERRE EJE AUTODIREC.AMPARTS;UND 
964;0601150 ADAICO                                    ;CILINDRO ELEVACION 40Ø x 1000mm;UND 
966;13475                                             ;CILINDRO ELEVACION 600mm 0601120 ADAICO.;UND 
11645;FEE A179-5-06230-229-K1660-HC HYVA                ;CILINDRO H.FEE A179-5-06230-229-K1660-HC;UND 
12492;GHS245x5x7100B REF:29-001 HIDROMAS - GALIPOGLU    ;CILINDRO HID. GHS245x5x7100B HIDROMAS;UND 
14497;GHS155-5-5140 HIDROMAS                            ;CILINDRO HID.GHS155-5-5140 A TEL.SIL.HID;UND 
13853;13853                                             ;CILINDRO HID.GHS175-4-5320 E TEL.SIL.HID;UND 
14398;0014398                                           ;CILINDRO HID.GHS175-5-8000 E TEL.SIL.HID;UND 
968;25627                                             ;"CILINDRO HIDR.1_1/2""x660mm-CARR.AX-01000";UND 
970;AF-6000100                                        ;"CILINDRO HIDR.11""x5""x450mm AF-6000100.";UND 
14060;0014060                                           ;"CILINDRO HIDR.1-1/4""Ø AO-11 CILINDRO AL";UND 
9133;AP-2702700                                        ;"CILINDRO HIDR.2""Ø AP-2702700 COMPUERTA";UND 
