ID Item;REF;DESCRPCION;Unidad
3544;20025                                             ;"VALV.EMERGENCIA 5""x4"" VA7162 CIVACON.";UND 
3598;20165                                             ;VALV.SEGURIDAD 25LB BAYCO 2180-25 HEIL.;UND 
189;24797-003                                         ;ACOPLE RAPIDO BTC-A1-4 SL BTI.;UND 
190;24797-004                                         ;ACOPLE RAPIDO GGW BTC-GG-4 BTI.;UND 
4908;400333343-04 EBW                                  ;O-RING POPPET 400333343-04 EBW.;UND 
857;21817-005                                         ;CALCOM.PRECAUCION REVERSA AF-6012000;UND 
9158;0009158                                           ;ACOPLE RAPIDO HEMBRA 5601-12-12S 3/4NPT;UND 
191;844 / AEROQUIP:5600-16-16S / SAFE WAY: S25-8P     ;"ACOPLE RAPIDO HEMBRA 5601-16-16S 1""NPT";UND 
12401;0012401                                           ;ACOPLE RAPIDO HEMBRA 5601-8-10S 1/2NPT;UND 
7113;439 PREMIER                                       ;BRIDA 439 BISAGRA TIRO PREMIER;UND 
194;22376- AEROQUIP:5602-16-16S / SAFE WAY:S21-8P     ;"ACOPLE RAPIDO MACHO 1""NPT.";UND 
10323;0010323                                           ;"ACOPLE RAPIDO MACHO 5602-12-12S 3/4""NPT";UND 
12402;0012402                                           ;ACOPLE RAPIDO MACHO 5602-8-10S 1/2NPT;UND 
219;19666-016                                         ;"ADAPT.202702-8-8S+O-RING 3/4""SAEx3/4""JIC";UND 
982;23834                                             ;CILINDRO HIDR.SC5.213.7005.25Z SOPRANO.;UND 
13292;ADAPT.RECTO                                       ;"ADAPT.2040-8-12S  1/2""NPT-M x3/4""NPT-H.";UND 
10324;0010324                                           ;"ADAPT.2047-12-12S  3/4""NPT-M x3/4""NPT-H.";UND 
220;14122-072 CODO-90º                                ;ADAPT.2062-10-12+ORING+TCA 7/8SAEx1_1/16;UND 
3599;2923                                              ;"VALV.SEGURIDAD RV-2350-15 2""MPT SURE SEA";UND 
139;20758-002                                         ;"ABRAZADERA AC.INOX.T/IND.T-807 (1_1/2"").";UND 
10368;0010368                                           ;ADAPT.2062-10-8S+ORING+TCA 7/8SAEx3/4JIC;UND 
9830;0009830                                           ;ADAPT.2062-8-12S+O-RIN+TCA+A 3/4SAEx3/4J;UND 
242;21436-011                                         ;ADAPT.2062-8-8S+ORING+TCA+AR 3/4SAEx3/4J;UND 
223;21818-006                                         ;"ADAPT.2083-16-12 1""NPTx3/4""NPT  (BSP)";UND 
2684;19347                                             ;SELLO PISTON 75434SLTF BETTS.VALV.SECUEN;UND 
1127;22826                                             ;CORREA AMARRE SIST.CARPADO AE-3909000.;UND 
225;24966-003                                         ;"ADAPT.ALUM.3""M+ROSCA-H.A300AL BTI.";UND 
226;24966-004                                         ;"ADAPT.ALUM.4""M+ROSCA-H.A400AL BTI.";UND 
227;24966-001                                         ;"ADAPT.ALUM.6""Hx4""CF60CX40A BTI.";UND 
228;24966-002                                         ;"ADAPT.ALUM.6""M ROSCA-H A600L BTI.";UND 
233;18548                                             ;ADAPT.BRONCE 10141 TAPACUBO PRESSURE GUA;UND 
9571;INOX.2023-12-12C 3/4NPTx1_1/16JIC M-M             ;ADAPT.C45ºINOX.2023-12-12C 3/4NPTx1_1/16;UND 
14331;0014331                                           ;"ADAPT.C90º  1/2""BSP CONICA x 3/4""JIC";UND 
